kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Musi Banyuasin,Plakat tinggi,2024,33,100,"30,3030303"
Musi Banyuasin,Sungai keruh,2022,46,148,"32,17391304"
Musi Banyuasin,Sungai keruh,2021,72,232,"32,22222222"
Musi Banyuasin,Sungai keruh,2023,35,113,"32,28571429"
Musi Banyuasin,Sungai keruh,2024,99,320,"32,32323232"
Musi Banyuasin,Batanghari leko,2024,21,68,"32,38095238"
Musi Banyuasin,Batanghari leko,2023,27,88,"32,59259259"
Musi Banyuasin,Batanghari leko,2022,51,167,"32,74509804"
Musi Banyuasin,Batanghari leko,2021,59,194,"32,88135593"
Musi Banyuasin,Tungkal jaya,2018,159,526,"33,08176101"
Musi Banyuasin,Tungkal jaya,2022,27,91,"33,7037037"
Musi Banyuasin,Plakat tinggi,2022,32,108,"33,75"
Musi Banyuasin,Tungkal jaya,2021,71,240,"33,8028169"
Musi Banyuasin,Plakat tinggi,2021,13,44,"33,84615385"
Musi Banyuasin,Plakat tinggi,2023,20,68,34
Musi Banyuasin,Babat supat,2018,2106,7424,"35,25166192"
Musi Banyuasin,Lalan,2018,71811,272406,"37,93374274"
Musi Banyuasin,Batanghari leko,2025,8,31,"38,75"
Musi Banyuasin,Sungai keruh,2025,120,468,39
Musi Banyuasin,Plakat tinggi,2025,55,215,"39,09090909"
Musi Banyuasin,Bayung lencir,2025,"0,5",2,40
Musi Banyuasin,Lais,2016,3050,12292,"40,30163934"
Musi Banyuasin,Sekayu,2016,3911,15800,"40,39887497"
Musi Banyuasin,Sanga desa,2016,2867,11611,"40,49877921"
Musi Banyuasin,Babat supat,2016,1453,5914,"40,70199587"
Musi Banyuasin,Sanga desa,2018,3820,15635,"40,92931937"
Musi Banyuasin,Lawang wetan,2016,1966,8061,"41,00203459"
Musi Banyuasin,Babat toman,2016,436,1809,"41,49082569"
Musi Banyuasin,Sungai keruh,2016,409,1697,"41,49144254"
Musi Banyuasin,Sungai lilin,2016,2017,8391,"41,6013882"
Musi Banyuasin,Keluang,2016,30,125,"41,66666667"
Musi Banyuasin,Lalan,2016,43233,180595,"41,77248861"
Musi Banyuasin,Bayung lencir,2016,1889,7896,"41,79989412"
Indramayu,Balongan,2017,3523,15224,"43,21317059"
Musi Banyuasin,Bayung lencir,2018,2217,9734,"43,90617952"
Musi Banyuasin,Sungai lilin,2025,425,1938,"45,6"
Bone,-,2019,169471,772874,"45,60508878"
Indramayu,Tukdana,2017,8426,39000,"46,28530738"
Musi Banyuasin,-,2019,29488,136642,"46,33817146"
Musi Banyuasin,Sekayu,2024,3152,14616,"46,37055838"
Bone,-,2020,164096,771447,"47,01193204"
Musi Banyuasin,Babat supat,2024,154,724,"47,01298701"
Musi Banyuasin,Lais,2018,3935,18582,"47,22236341"
Musi Banyuasin,Lawang wetan,2024,499,2358,"47,25450902"
Musi Banyuasin,Jirak jaya,2024,799,3821,"47,82227785"
Musi Banyuasin,Babat toman,2018,537,2570,"47,858473"
Musi Banyuasin,Lais,2024,3699,17759,"48,01027305"
Indramayu,Haurgeulis,2017,8375,40460,"48,31044776"
Indramayu,Widasari,2017,5838,28363,"48,58341898"
Musi Banyuasin,Lais,2022,1875,9133,"48,70933333"
Musi Banyuasin,Lais,2021,4689,22840,"48,70974621"
Musi Banyuasin,Sekayu,2020,2971,14492,"48,77818916"
Musi Banyuasin,Jirak jaya,2021,688,3356,"48,77906977"
Musi Banyuasin,Lais,2023,2852,13912,"48,77980365"
Musi Banyuasin,Sekayu,2022,2918,14234,"48,77998629"
Musi Banyuasin,Sekayu,2023,3011,14688,"48,78113584"
Musi Banyuasin,Sekayu,2021,2971,14493,"48,78155503"
Musi Banyuasin,Jirak jaya,2023,780,3805,"48,78205128"
Musi Banyuasin,Jirak jaya,2022,674,3288,"48,78338279"
Musi Banyuasin,Tungkal jaya,2020,99,483,"48,78787879"
